name,thesis_title,first_advisor,advisors,doi,year
"Bastard, C.",Hydrogel systems with temporally controlled and sequential delivery of bioactive factors to induce cell growth,"De Laporte, L.","De Laporte, L.; Wessling, M.",10.18154/RWTH-2026-02246,2026
"Stabilisierung und KOH Aktivierung Fischer, T.",Polyacrylonitrile-based carbon nanofibers for gas adsorption and separation - impacts of thermal stabilization and KOH activation,"Eichel, R.-A.","Eichel, R.-A.; Wessling, M.",10.18154/RWTH-2026-00958,2026
"Prozessentwicklung bis zur Klimapolitik Wagner, H.",Life cycle assessment for a sustainable chemical industry from early-stage development to climate policy,"Bardow, A.","Bardow, A.; Wessling, M.",10.18154/RWTH-2026-00168,2026
"Elektrolyseuranwendungen Klinger, A.",Structure property relationships of membranes and electrodes for industrial electrolyzer applications,"Eichel, R.-A.","Eichel, R.-A.; Wessling, M.",10.18154/RWTH-2025-10986,2026
"CO_{2}}$ in wässrigen Elektrolyten Theussl, V.",Degradation and failure mechanisms of gas diffusion electrodes for electroreduction of $\mathrm{CO_{2}}$ in aqueous electrolytes,"Eichel, R.-A.","Eichel, R.-A.; Wessling, M.",10.18154/RWTH-2025-10913,2026
"Mikro- und Nanoskalenanalyse Borowec, J. M.",Mechanics and electrics of electrolyzer materials - a micro- and nanoscale analysis,"Hausen, F.","Hausen, F.; Wessling, M.; Mayer, J.",10.18154/RWTH-2025-06489,2025
"Selmert, V. O.",Investigation of polyacrylonitrile-based carbon nanofibers as adsorbents for the separation of carbon dioxide using dynamic gas adsorption,"Eichel, R.-A.","Eichel, R.-A.; Wessling, M.",10.18154/RWTH-2025-05853,2025
"Flusszellen für die CO$_{2}$-to-CO Elektrolyse Quentmeier, M.",Stacking of various flow-cells for the CO$_{2}$-to-CO electrolysis,"Eichel, R.-A.","Eichel, R.-A.; Wessling, M.",10.18154/RWTH-2025-02306,2025
"Hochtemperaturelektrolyse Wolf, S. E.",Electrochemical analysis and development of novel electrode materials for high-temperature electrolysis,"Eichel, R.-A.","Eichel, R.-A.; Wessling, M.; Mayer, J.",10.18154/RWTH-2025-01207,2025
"Synthese von funktionellen Mikrogelen Kaven, L. F.",In-silico and in-situ optimization for enhanced synthesis of functional microgels,"Mitsos, A.","Mitsos, A.; Wessling, M.",10.18154/RWTH-2024-06268,2024
