include,publication_number,title,inventor,assignee,priority_date,filing_date,publication_date,grant_date,language,family_country_status,snippet,google_patents_url,query_hit,notes
,WO2026087555A1,"Method for producing planar, porous hydrogels by means of flow lithography",Matthias Wessling,Dwi - Leibniz-Institut Für Interaktive Materialien E.V.,2024-10-25,2025-10-22,2026-04-30,,en,WO=ACTIVE;DE=ACTIVE,"The present invention is in the technical field of additive manufacturing and provides a continuous method for producing planar, porous hydrogels and structures. The present invention also provides an apparatus for the continuous production of hydrogels.",https://patents.google.com/patent/WO2026087555A1/en,inventor=Matthias+Wessling,
,DE102024131256A1,"METHOD FOR THE PRODUCTION OF PLANAR, POROUS HYDROGELS BY FLOW LITHOGRAPHY",Matthias Wessling,Dwi - Leibniz-Institut Für Interaktive Materialien E.V.,2024-10-25,2024-10-25,2026-04-30,,en,WO=ACTIVE;DE=ACTIVE,"The present invention lies in the technical field of additive manufacturing and provides a continuous process for producing planar, porous hydrogels and structures. The present invention also provides a device for the continuous production of hydrogels.",https://patents.google.com/patent/DE102024131256A1/en,"inventor=""Matthias Wessling""",
,WO2026078023A1,"Method for producing polyelectrolyte complex membranes for ultrafiltration, ...",Matthias Wessling,"Rheinisch-Westfälische Technische Hochschule Aachen, abgekürzt RWTH Aachen, ...",2024-10-11,2025-10-08,2026-04-16,,en,WO=ACTIVE;DE=ACTIVE,"The present invention relates to the field of membrane materials and provides methods for producing membranes for ultrafiltration, microfiltration and nanofiltration without the use of toxic solvents. Furthermore, the present invention provides such new membrane materials with improved stability ...",https://patents.google.com/patent/WO2026078023A1/en,inventor=Matthias+Wessling,
,DE102024129531A1,Method for the production of polyelectrolyte complex membranes for ...,Matthias Wessling,"Rheinisch-Westfälische Technische Hochschule Aachen, abgekürzt RWTH Aachen, ...",2024-10-11,2024-10-11,2026-04-16,,en,WO=ACTIVE;DE=ACTIVE,"The present invention relates to membrane materials and provides methods for producing membranes for ultrafiltration, microfiltration, and nanofiltration without the use of toxic solvents. Furthermore, the present invention provides such novel membrane materials with improved stability compared to ...",https://patents.google.com/patent/DE102024129531A1/en,"inventor=""Matthias Wessling""",
,WO2025242425A1,Switchable electrode arrangement,Matthias Wessling,"Rheinisch-Westfälische Technische Hochschule Aachen, abgekürzt RWTH Aachen, ...",2024-05-21,2025-05-05,2025-11-27,,en,WO=ACTIVE;DE=ACTIVE,"The present invention relates to an electrode arrangement (10) for an electrochemical cell, the electrode arrangement having at least a first electrode (14) and a second electrode (16), the first electrode (14) and the second electrode (16) being operable with the same polarity, the first ...",https://patents.google.com/patent/WO2025242425A1/en,inventor=Matthias+Wessling,
,DE102024114129A1,Switchable electrode arrangement,Matthias Wessling,"Rheinisch-Westfälische Technische Hochschule Aachen, abgekürzt RWTH Aachen, ...",2024-05-21,2024-05-21,2025-11-27,,en,WO=ACTIVE;DE=ACTIVE,"The present invention relates to an electrode arrangement (10) for an electrochemical cell, wherein the electrode arrangement comprises at least one first electrode (14) and one second electrode (16), wherein the first electrode (14) and the second electrode (16) can be operated in the same ...",https://patents.google.com/patent/DE102024114129A1/en,"inventor=""Matthias Wessling""",
,WO2025061540A1,Electrochemical hydrogen compressor,Matthias Wessling,"Rheinisch-Westfälische Technische Hochschule Aachen, abgekürzt RWTH Aachen, ...",2023-09-19,2024-09-11,2025-03-27,,en,WO=ACTIVE;DE=ACTIVE,"The invention relates to an electrochemical hydrogen compressor (1) comprising at least one compressor unit (4), wherein an electrode arrangement (4c, 4d, 4e) which is disposed between two gas flow regions (4a, 4b) in the at least one compressor unit (4) comprises a gas-tight proton-permeable ...",https://patents.google.com/patent/WO2025061540A1/en,inventor=Matthias+Wessling,
,DE102023125255A1,Electrochemical hydrogen compressor,Matthias Wessling,"Rheinisch-Westfälische Technische Hochschule Aachen, abgekürzt RWTH Aachen, ...",2023-09-19,2023-09-19,2025-03-20,,en,WO=ACTIVE;DE=ACTIVE,"The invention relates to an electrochemical hydrogen compressor (1) comprising at least one compressor unit (4), wherein in the at least one compressor unit (4) between two gas flow regions (4a, 4b) an electrode arrangement (4c, 4d, 4e) is arranged, which comprises a gas-tight, proton-permeable ...",https://patents.google.com/patent/DE102023125255A1/en,"inventor=""Matthias Wessling""",
,EP4497494A1,Sma-blended membranes for immobilizing functional molecules,Matthias Wessling,Gambro Lundia AB,2023-07-24,2023-07-24,2025-01-29,,en,WO=ACTIVE;EP=ACTIVE;CN=ACTIVE,"The present disclosure relates to polysulfone, polyethersulfone or polyarylethersulfone based membranes for use in extracorporeal blood treatment applications comprising a blend of (i) a polysulfone (PS), a polyethersulfone (PES) or a polyarylethersulfone (PAES); (ii) a polyvinylpyrrolidone (PVP); ...",https://patents.google.com/patent/EP4497494A1/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",
,DE102023106667A1,Device for carrying out at least one local polymerization process of a ...,Matthias Wessling,Xolo Gmbh,2023-03-16,2023-03-16,2024-09-19,,en,WO=NOT_ACTIVE;DE=ACTIVE,"Device (1) for carrying out at least one local polymerization process of a polymerizable material for the continuous additive production of at least one three-dimensional object (2) by means of multiphoton photopolymerization, wherein the device (1) comprises: at least one container (3) which ...",https://patents.google.com/patent/DE102023106667A1/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",
,WO2024023237A1,Method for producing polyvinylidene fluoride in a membrane reactor,Matthias Wessling,Rheinisch-Westfälische Technische Hochschule (Rwth) Aachen,2022-07-28,2023-07-27,2024-02-01,,en,WO=NOT_ACTIVE;EP=ACTIVE;US=ACTIVE;CN=ACTIVE;DE=ACTIVE,"The present invention relates to a method for producing polyvinylidene fluoride with polymerization of vinylidene fluoride, in particularly using a polymerization reactor that comprises a membrane.",https://patents.google.com/patent/WO2024023237A1/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",EP family member EP4561744A1 (already on website)
,US20250041805A1,Method for increasing the selectivity of a membrane,Matthias Wessling,Gambro Lundia Ab,2021-12-21,2022-12-16,2025-02-06,,en,WO=NOT_ACTIVE;EP=ACTIVE;US=ACTIVE;CN=ACTIVE;JP=ACTIVE;KR=ACTIVE;AU=ACTIVE,"The disclosure relates to a method for improving the selectivity of a membrane, specifically of a membrane comprising a blend of i) a polysulfone, polyethersulfone or polyarylethersulfone and ii) polyvinylpyrrolidone, characterized in that the membrane is coated with polydopamine and heparin in a ...",https://patents.google.com/patent/US20250041805A1/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",
,WO2023275302A1,Method of additive manufacture of porous gas-permeable shaped bodies having ...,Matthias Wessling,Rheinisch-Westfälische Technische Hochschule (Rwth) Aachen,2021-06-30,2022-06-30,2023-01-05,,en,WO=NOT_ACTIVE;EP=ACTIVE;US=ACTIVE;CN=ACTIVE;KR=ACTIVE;DE=ACTIVE;IL=UNKNOWN,"The invention relates to a method of additive manufacture of porous gas-permeable shaped bodies via selective laser sintering of a polymer powder, comprising the steps of: a) providing a layer of a polymer powder within a build space; b) heating the polymer powder bed to a temperature of not less ...",https://patents.google.com/patent/WO2023275302A1/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",
